	Store_name	Positive_store_rating	Number_of_ratings	Price	Product_title
0	"
ProSupport Polska
"	3/5	2	2562,56	"Samsung Galaxy S20 8/128GB 6,2"" Dynamic AMOLED 3200x1440 4000 mAh Dual-SIM 4G Grey"
1	"
deluxury.pl
"	4,5/5	628	2298,00	Samsung Galaxy S20 128GB G980F Dual Sim - Cloud Grey
2	"
Sferis
"	4,5/5	4513	2299,00	"Samsung Galaxy S20 8/128GB 6,2"" Dynamic AMOLED 3200x1440 4000 mAh Dual-SIM 4G Grey - Darmowa dostawa paczkomatem od 599zł"
3	"
apolos.pl
"	4/5	3	2367,00	Samsung Galaxy S20, 8GB/128GB, Cosmic Grey
4	"
tech-town.pl
"	5/5	38	2377,00	Samsung Galaxy S20 8/128GB - szary
5	"
net-s.pl
"	4,5/5	268	2380,01	SUPER CENA - TANIA DOSTAWA ! - Samsung Galaxy S20 - 6.2 - 128GB, Android (Cosmic Grey)
6	"
supertech.pl
"	4,5/5	46	2391,99	"Samsung Galaxy S20 SM-G980F 15,8 cm (6.2"") Android 10.0 4G USB Type-C 8 GB 128 GB 4000 mAh Szary"
7	"
fostertechnologies.pl
"	4,5/5	625	2436,99	"Samsung Electronics Polska Samsung Galaxy S20 8/128GB 6,2"" Dynamic AMOLED 3200x1440 4000 mAh Dual-SIM 4G Grey"
8	"
remedial.sklep.pl
"	5/5	99	2472,00	"Samsung Electronics Polska Samsung Galaxy S20 8/128GB 6,2"" Dynamic AMOLED 3200x1440 4000 mAh Dual-SIM 4G Grey"
9	"
Powidło i Mydło
"	4,5/5	140	2517,00	"Samsung Galaxy S20 8/128GB 6,2"" Dynamic AMOLED 3200x1440 4000 mAh Dual-SIM 4G Grey"
10	"
Morele.net
"	4,5/5	1685	2528,38	Smartfon Samsung Galaxy S20 8/128GB Dual SIM Szary  (SM-G980FZADEEE)
11	"
r-kom.pl
"	5/5	151	2588,00	SAMSUNG GALAXY S20 G980F/DS 8/128GB DUAL SIM COSMIC GRAY
12	"
Empik
"	4,5/5	1999	2594,00	SAMSUNG Galaxy S20 SM-G980FZADEUE, 128 GB, Dual SIM, szary
13	"
Wasserman_A3
"	4,5/5	11	2791,36	"Samsung Galaxy S20 8/128GB 6,2"" Dynamic AMOLED 3200x1440 4000 mAh Dual-SIM 4G Grey"
14	"
emaga.online
"	3,5/5	17	3469,00	MOBILE PHONE GALAXY S20/GRAY SM-G980FZAD SAMSUNG
